fid;area;MNH_max;genus;species;height;numero;classe;conifere;Intensity_mean;Intensity_stdev;Nbreturns_mean;Nbreturns_stdev
6902;14.9599999992037;9.2856559753418;Celtis;australis;9.9;9;Feuillu;2;1488.46361185984;746.627122462516;1.60916442048518;0.681541065262951
8763;40.4400000001444;9.2875804901123;Celtis;australis;9.78;9;Feuillu;2;1445.52423343225;542.285658182572;1.37784371909001;0.564060188673777
12502;51.4799999996834;9.28855895996094;Celtis;australis;9.75;9;Feuillu;2;1734.62587685113;776.240477289185;1.47934528448948;0.667823356797177
8949;57.399999999674;9.29324817657471;Celtis;australis;9.73;9;Feuillu;2;1599.68222996516;572.915293796047;1.31777003484321;0.507159105474651
6187;43.1200000014575;9.29370498657227;Celtis;australis;9.75;9;Feuillu;2;1555.36397748593;777.51491408796;1.46998123827392;0.636255609325741
7947;26.8000000004657;9.29658889770508;Celtis;australis;9.73;9;Feuillu;2;1340.87164179104;602.399915464001;1.55373134328358;0.64132054951214
7604;23.9999999994412;9.29983520507812;Celtis;australis;11.04;9;Feuillu;2;1670.73;800.710270384987;1.5;0.605530070819498
19551;30.0799999994971;9.30052185058594;Celtis;australis;9.98;9;Feuillu;2;1982.95744680851;949.174704956707;1.58377659574468;0.707785423281445
8950;50.7200000002468;9.30238246917725;Celtis;australis;9.58;9;Feuillu;2;2014.25630914827;804.794423708194;1.16561514195584;0.41198605320533
1344;17.5600000008801;9.30557250976562;Celtis;australis;9.32;9;Feuillu;2;1957.61047835991;908.651696317406;1.55580865603645;0.718107307174598
8652;50.4800000002654;9.30654716491699;Celtis;australis;9.76;9;Feuillu;2;1400.40808240887;660.274758420027;1.48494453248811;0.632714792000993
8181;48.4000000003725;9.30714797973633;Celtis;australis;9.68;9;Feuillu;2;1922.24462809917;841.958963090835;1.25371900826446;0.480279072164659
8756;48.8800000004284;9.30984783172607;Celtis;australis;9.75;9;Feuillu;2;1555.59950859951;660.983692984359;1.41113841113841;0.583424130718896
10569;58.8400000005401;9.31024932861328;Celtis;australis;9.63;9;Feuillu;2;1976.48130523453;821.934287086364;1.28484024473148;0.522538863960466
